COUNTY,Total Active & Inactive,Active,,,,,,,,,,Inactive,,,,,,,,,
,,Asian,American Indian,Black,Federally Registered (May be of Any Race),Hispanic,Korean,White,Other,Not Identified,Total Active,Asian,American Indian,Black,Federally Registered (May be of Any Race),Hispanic,Korean,White,Other,Not Identified,Total Inactive
TOTAL," 3,628,182 "," 22,576 "," 8,599 "," 825,440 "," 1,137 "," 37,935 ", 17 ," 2,243,534 "," 18,417 "," 21,738 "," 3,179,393 "," 4,172 "," 1,634 "," 137,973 ", 96 ," 7,813 ", 6 ," 286,993 "," 5,576 "," 4,526 "," 448,789 "
AUTAUGA," 42,490 ", 232 , 74 ," 7,402 ",, 297 ,," 29,009 ", 220 , 259 ," 37,493 ", 49 , 16 ," 1,035 ",, 76 ,," 3,707 ", 53 , 61 ," 4,997 "
BALDWIN," 182,410 ", 838 , 561 ," 11,089 ",," 1,922 ",," 138,767 ", 927 , 682 ," 154,786 ", 184 , 148 ," 2,278 ",, 530 ,," 24,067 ", 262 , 155 ," 27,624 "
BARBOUR," 17,082 ", 37 , 21 ," 6,860 ",, 89 ,," 7,674 ", 38 , 82 ," 14,801 ", 10 , 3 ," 1,133 ", 1 , 26 ,," 1,077 ", 12 , 19 ," 2,281 "
BIBB," 14,553 ", 11 , 21 ," 2,405 ",, 53 ,," 10,910 ", 17 , 32 ," 13,449 ", 4 , 2 , 239 ,, 8 ,, 847 , 2 , 2 ," 1,104 "
BLOUNT," 41,142 ", 69 , 86 , 560 , 2 ," 1,101 ", 1 ," 35,829 ", 121 , 106 ," 37,875 ", 11 , 11 , 84 ,, 98 ,," 3,015 ", 32 , 16 ," 3,267 "
BULLOCK," 7,099 ", 12 , 6 ," 4,699 ",, 45 ,," 1,417 ", 15 , 14 ," 6,208 ", 2 , 1 , 729 ,, 6 ,, 147 , 3 , 3 , 891 
BUTLER," 14,186 ", 34 , 10 ," 5,499 ",, 32 ,," 6,991 ", 50 , 32 ," 12,648 ", 2 , 2 , 833 ,, 7 ,, 677 , 13 , 4 ," 1,538 "
CALHOUN," 78,938 ", 348 , 134 ," 13,859 ",, 724 ,," 53,566 ", 448 , 574 ," 69,653 ", 72 , 36 ," 2,574 ", 2 , 134 ,," 6,229 ", 127 , 111 ," 9,285 "
CHAMBERS," 25,477 ", 69 , 29 ," 8,774 ",, 97 ,," 12,821 ", 80 , 143 ," 22,013 ", 32 , 5 ," 1,460 ",, 27 ,," 1,895 ", 22 , 23 ," 3,464 "
