NAME,Total,Asian,American Indian,Black,Federally Registered (May be of Any Race),Hispanic,Korean,White,Other,Not Identified,Total Active
Autauga,"42,490",232,74,7402,,297,,"29,009",220,259,"37,493"
Baldwin,"182,410",838,561,11089,,"1,922",,"138,767",927,682,"154,786"
Barbour,"17,082",37,21,6860,,89,,"7,674",38,82,"14,801"
Bibb,"14,553",11,21,2405,,53,,"10,910",17,32,"13,449"
Blount,"41,142",69,86,560,2,"1,101",1,"35,829",121,106,"37,875"
Bullock,"7,099",12,6,4699,,45,,"1,417",15,14,"6,208"
Butler,"14,186",34,10,5499,,32,,"6,991",50,32,"12,648"
Calhoun,"78,938",348,134,13859,,724,,"53,566",448,574,"69,653"
Chambers,"25,477",69,29,8774,,97,,"12,821",80,143,"22,013"
Cherokee,"19,607",37,32,739,,58,,"16,501",21,56,"17,444"
Chilton,"29,281",56,50,2660,3,436,,"22,818",121,95,"26,239"
Choctaw,"10,701",4,3,4082,,14,,"5,308",8,16,"9,435"
Clarke,"18,980",39,34,7763,,37,,"9,128",39,35,"17,075"
Clay,"10,227",18,23,1286,,74,,"8,000",32,24,"9,457"
Cleburne,"11,081",19,12,265,,47,,"9,282",14,29,"9,668"
Coffee,"36,076",262,127,5023,,852,1,"23,680",475,348,"30,768"
Colbert,"42,903",113,74,6226,,259,1,"31,340",287,212,"38,512"
Conecuh,"9,769",33,17,3949,,26,,"4,625",31,21,"8,702"
Coosa,"8,088",12,14,2159,,20,,"5,128",24,16,"7,373"
Covington,"27,457",79,52,2846,,114,,"20,979",68,90,"24,228"
Crenshaw,"10,372",13,22,2249,,27,,"6,917",15,37,"9,280"
Cullman,"62,138",198,99,568,2,600,,"54,472",114,189,"56,242"
Dale,"34,475",163,76,6168,1,623,,"21,401",322,254,"29,008"
Dallas,"29,742",85,19,18353,2,26,,"7,574",66,78,"26,203"
DeKalb,"44,885",103,291,684,,"1,594",,"36,763",137,133,"39,705"
Elmore,"59,708",220,115,10196,,429,,"42,722",269,305,"54,256"
Escambia,"26,353",58,492,6569,,105,,"15,523",63,37,"22,847"
Etowah,"74,239",289,114,9857,,682,,"55,246",197,395,"66,780"
Fayette,"12,511",14,17,1318,,47,,"10,039",32,27,"11,494"
Franklin,"19,149",26,34,761,6,874,,"16,261",69,17,"18,048"
Geneva,"19,509",24,79,1543,,191,,"15,240",42,55,"17,174"
Greene,"6,622",4,2,4871,,15,,"1,027",14,21,"5,954"
Hale,"11,865",15,13,6346,,24,,"4,458",29,33,"10,918"
Henry,"13,864",22,16,3298,,61,,"9,000",39,50,"12,486"
Houston,"77,727",383,160,16677,2,755,,"48,697",331,719,"67,724"
Jackson,"38,508",84,310,1165,,287,,"32,287",70,127,"34,330"
Jefferson,"482,190","3,591",499,178458,"1,091","4,240",2,"230,319","2,517","3,506","424,223"
Lamar,"10,633",5,4,1067,,29,,"8,674",21,14,"9,814"
Lauderdale,"66,098",214,130,5196,,468,,"52,006",238,306,"58,558"
Lawrence,"24,920",32,461,2714,,171,,"19,484",155,52,"23,069"
Lee,"120,471","1,418",134,23439,2,"1,201",6,"71,711",882,"1,139","99,932"
Limestone,"72,391",635,182,8558,2,"1,290",3,"53,778",514,695,"65,657"
Lowndes,"9,752",12,6,6391,,16,,"2,229",15,17,"8,686"
Macon,"16,632",24,11,10216,2,35,1,"2,230",89,39,"12,647"
Madison,"301,292","4,186",944,59931,1,"4,988",,"181,544","2,593","3,209","257,396"
Marengo,"15,634",25,7,7156,,48,,"6,443",24,22,"13,725"
Marion,"21,644",29,38,633,,126,,"18,430",32,72,"19,360"
Marshall,"63,659",193,148,1057,2,"2,040",,"53,385",179,306,"57,310"
Mobile,"307,935","2,951",858,92534,5,"2,213",,"158,894","1,896","1,574","260,925"
Monroe,"16,017",39,70,5998,,29,,"7,936",30,20,"14,122"
Montgomery,"157,306","1,585",146,82557,7,"1,136",1,"50,586",788,"1,483","138,289"
Morgan,"84,429",294,307,9377,,"1,791",,"64,531",329,359,"76,988"
Perry,"7,722",6,10,5051,,7,,"1,784",6,7,"6,871"
Pickens,"13,802",27,6,5283,,32,,"7,074",35,49,"12,506"
Pike,"23,090",67,70,7187,,105,,"11,495",83,112,"19,119"
Randolph,"17,956",22,19,2846,,72,,"12,557",50,55,"15,621"
Russell,"42,306",148,52,15503,1,585,,"16,436",312,353,"33,390"
Shelby,"164,107","1,720",206,19461,1,"2,498",,"123,574","1,090","1,502","150,052"
St. Clair,"67,756",279,87,5853,,437,,"54,893",267,182,"61,998"
Sumter,"9,608",11,13,6169,,3,,"1,915",14,17,"8,142"
Talladega,"58,207",154,81,16631,2,212,,"34,251",205,209,"51,745"
Tallapoosa,"31,242",62,46,6808,,135,,"20,553",88,78,"27,770"
Tuscaloosa,"146,021",671,155,39429,2,"1,047",1,"80,302",785,840,"123,232"
Walker,"47,278",97,68,2546,1,184,,"39,030",275,111,"42,312"
Washington,"13,364",12,565,2824,,35,,"8,520",24,15,"11,995"
Wilcox,"8,528",14,10,5724,,7,,"2,261",8,13,"8,037"
Winston,"16,978",30,27,75,,118,,"15,309",28,39,"15,626"
