Reporting Period: 04/30/2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Search,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAME,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American,Native Hawaiian,Other,Hispanic,Male,Female,Total
,,,,,,,,,Indian,,,,,,
ALAMANCE,"38,280","36,378",0,0,696,"36,611","73,963","22,824",279,8,"14,891","5,204","46,880","57,161","111,965"
ALEXANDER,"4,636","11,886",0,0,126,"8,200","21,939",949,31,2,"1,927",418,"11,344","12,109","24,848"
ALLEGHANY,"1,932","3,089",0,0,38,"2,575","6,846",71,7,0,710,204,"3,438","3,669","7,634"
ANSON,"9,083","2,927",0,0,45,"3,759","6,643","6,395",29,0,"2,747",101,"6,009","7,288","15,814"
ASHE,"4,116","9,004",0,0,104,"6,567","18,304",117,25,1,"1,344",283,"8,957","9,897","19,791"
AVERY,"1,340","7,164",0,0,57,"3,853","11,321",52,20,0,"1,021",87,"5,561","6,097","12,414"
BEAUFORT,"10,709","12,069",0,0,130,"9,769","22,905","7,050",37,2,"2,683",517,"14,004","16,613","32,677"
BERTIE,"8,159","1,655",0,0,39,"2,986","4,615","7,434",20,1,769,44,"5,462","6,736","12,839"
BLADEN,"9,650","5,111",0,0,76,"7,038","12,411","7,466",384,2,"1,612",489,"9,630","11,416","21,875"
BRUNSWICK,"27,261","48,836",0,0,667,"45,251","101,219","8,805",381,5,"11,605","1,694","52,244","60,176","122,015"
BUNCOMBE,"74,563","45,874",0,0,"1,709","83,242","170,945","10,475",362,39,"23,567","4,658","88,050","103,069","205,388"
BURKE,"13,812","23,048",0,0,356,"21,145","49,188","3,135",90,0,"5,948","1,176","25,926","28,777","58,361"
CABARRUS,"44,070","51,352",0,0,"1,218","54,758","97,578","29,815",388,9,"23,608","6,343","63,964","75,030","151,398"
CALDWELL,"10,328","26,220",0,0,377,"16,956","46,707","2,648",74,0,"4,452","1,029","24,199","26,589","53,881"
CAMDEN,"1,452","2,922",0,0,68,"3,475","6,461",912,9,1,534,44,"3,603","3,926","7,917"
CARTERET,"9,683","24,346",0,0,310,"18,777","46,237","2,184",94,10,"4,591",602,"23,180","26,227","53,116"
CASWELL,"6,442","4,046",0,0,52,"4,761","9,417","4,711",22,1,"1,150",200,"6,737","7,697","15,301"
CATAWBA,"21,560","47,425",0,0,634,"39,270","85,957","8,834",142,3,"13,953","4,135","47,970","53,786","108,889"
CHATHAM,"21,291","14,092",0,0,325,"23,203","44,152","6,023",123,1,"8,612","2,036","24,728","28,830","58,911"
CHEROKEE,"3,706","11,213",0,0,135,"7,531","21,038",246,126,0,"1,175",199,"10,646","11,535","22,585"
CHOWAN,"3,742","2,904",0,0,35,"3,182","6,384","2,784",12,2,681,73,"4,273","5,269","9,863"
CLAY,"1,479","4,477",0,0,64,"3,414","8,872",42,16,0,504,80,"4,329","4,721","9,434"
