,NAME,B02001_003E,state,county,GEOID
0,"Monroe County, Alabama",8927,01,099,01099
1,"Lawrence County, Alabama",3627,01,079,01079
2,"Lee County, Alabama",36675,01,081,01081
3,"Marion County, Alabama",1097,01,093,01093
4,"Pickens County, Alabama",8367,01,107,01107
5,"Sumter County, Alabama",9346,01,119,01119
6,"Jefferson County, Alabama",281702,01,073,01073
7,"Choctaw County, Alabama",5590,01,023,01023
8,"Franklin County, Alabama",1388,01,059,01059
9,"Marengo County, Alabama",10518,01,091,01091
10,"Russell County, Alabama",24957,01,113,01113
11,"Cherokee County, Alabama",1267,01,019,01019
12,"Covington County, Alabama",4826,01,039,01039
13,"Crenshaw County, Alabama",3198,01,041,01041
14,"Dallas County, Alabama",28210,01,047,01047
15,"Lauderdale County, Alabama",9364,01,077,01077
16,"Lowndes County, Alabama",7601,01,085,01085
17,"Macon County, Alabama",15740,01,087,01087
18,"Limestone County, Alabama",12468,01,083,01083
19,"Shelby County, Alabama",25455,01,117,01117
20,"Winston County, Alabama",90,01,133,01133
21,"Baldwin County, Alabama",19764,01,003,01003
22,"Elmore County, Alabama",17402,01,051,01051
23,"Jackson County, Alabama",1799,01,071,01071
24,"Talladega County, Alabama",26010,01,121,01121
25,"Washington County, Alabama",4086,01,129,01129
26,"Clay County, Alabama",1977,01,027,01027
27,"Morgan County, Alabama",15228,01,103,01103
28,"Pike County, Alabama",12697,01,109,01109
29,"St. Clair County, Alabama",8252,01,115,01115
30,"Cullman County, Alabama",998,01,043,01043
31,"Houston County, Alabama",28078,01,069,01069
32,"Tuscaloosa County, Alabama",65260,01,125,01125
33,"Coffee County, Alabama",8829,01,031,01031
34,"Chilton County, Alabama",4148,01,021,01021
35,"Coosa County, Alabama",3713,01,037,01037
36,"Etowah County, Alabama",16212,01,055,01055
37,"Lamar County, Alabama",1558,01,075,01075
38,"Butler County, Alabama",9055,01,013,01013
39,"Walker County, Alabama",4007,01,127,01127
40,"Greene County, Alabama",6713,01,063,01063
41,"Bullock County, Alabama",7893,01,011,01011
42,"Montgomery County, Alabama",130866,01,101,01101
43,"Marshall County, Alabama",2456,01,095,01095
44,"Blount County, Alabama",862,01,009,01009
45,"Henry County, Alabama",4749,01,067,01067
46,"Madison County, Alabama",86012,01,089,01089
47,"Autauga County, Alabama",10565,01,001,01001
48,"Tallapoosa County, Alabama",11145,01,123,01123
49,"Geneva County, Alabama",2529,01,061,01061
50,"Wilcox County, Alabama",7511,01,131,01131
51,"Colbert County, Alabama",8615,01,033,01033
52,"Dale County, Alabama",9749,01,045,01045
53,"Hale County, Alabama",8748,01,065,01065
54,"DeKalb County, Alabama",1004,01,049,01049
55,"Escambia County, Alabama",11920,01,053,01053
56,"Randolph County, Alabama",4547,01,111,01111
57,"Mobile County, Alabama",147434,01,097,01097
58,"Perry County, Alabama",6588,01,105,01105
59,"Cleburne County, Alabama",393,01,029,01029
60,"Conecuh County, Alabama",5971,01,035,01035
61,"Barbour County, Alabama",12266,01,005,01005
62,"Bibb County, Alabama",5018,01,007,01007
63,"Calhoun County, Alabama",23676,01,015,01015
64,"Clarke County, Alabama",11173,01,025,01025
65,"Fayette County, Alabama",1978,01,057,01057
66,"Chambers County, Alabama",13319,01,017,01017
