,NAME,B02001_003E,state,county,GEOID
0,"St. Martin Parish, Louisiana",15737,22,099,22099
1,"Vernon Parish, Louisiana",7437,22,115,22115
2,"Rapides Parish, Louisiana",41846,22,079,22079
3,"Tangipahoa Parish, Louisiana",38593,22,105,22105
4,"West Carroll Parish, Louisiana",1800,22,123,22123
5,"Caldwell Parish, Louisiana",1671,22,021,22021
6,"East Carroll Parish, Louisiana",5051,22,035,22035
7,"Evangeline Parish, Louisiana",9253,22,039,22039
8,"St. Bernard Parish, Louisiana",10445,22,087,22087
9,"West Baton Rouge Parish, Louisiana",10320,22,121,22121
10,"Red River Parish, Louisiana",3364,22,081,22081
11,"Natchitoches Parish, Louisiana",15775,22,069,22069
12,"Catahoula Parish, Louisiana",3210,22,025,22025
13,"Franklin Parish, Louisiana",6713,22,041,22041
14,"Assumption Parish, Louisiana",6807,22,007,22007
15,"Vermilion Parish, Louisiana",8841,22,113,22113
16,"Concordia Parish, Louisiana",8230,22,029,22029
17,"East Baton Rouge Parish, Louisiana",204036,22,033,22033
18,"Sabine Parish, Louisiana",3931,22,085,22085
19,"Allen Parish, Louisiana",4878,22,003,22003
20,"Madison Parish, Louisiana",7301,22,065,22065
21,"Jefferson Davis Parish, Louisiana",5215,22,053,22053
22,"St. James Parish, Louisiana",10622,22,093,22093
23,"Grant Parish, Louisiana",3733,22,043,22043
24,"West Feliciana Parish, Louisiana",6807,22,125,22125
25,"Jefferson Parish, Louisiana",116621,22,051,22051
26,"Beauregard Parish, Louisiana",4580,22,011,22011
27,"Bienville Parish, Louisiana",5884,22,013,22013
28,"Bossier Parish, Louisiana",28131,22,015,22015
29,"Cameron Parish, Louisiana",290,22,023,22023
30,"East Feliciana Parish, Louisiana",8588,22,037,22037
31,"St. John the Baptist Parish, Louisiana",24192,22,095,22095
32,"Plaquemines Parish, Louisiana",4786,22,075,22075
33,"Ouachita Parish, Louisiana",58507,22,073,22073
34,"Washington Parish, Louisiana",13987,22,117,22117
35,"St. Landry Parish, Louisiana",34320,22,097,22097
36,"Acadia Parish, Louisiana",11139,22,001,22001
37,"St. Mary Parish, Louisiana",16158,22,101,22101
38,"St. Tammany Parish, Louisiana",29803,22,103,22103
39,"Union Parish, Louisiana",5594,22,111,22111
40,"Caddo Parish, Louisiana",121444,22,017,22017
41,"Ascension Parish, Louisiana",26398,22,005,22005
42,"Lafayette Parish, Louisiana",62139,22,055,22055
43,"Iberia Parish, Louisiana",23053,22,045,22045
44,"Lincoln Parish, Louisiana",19343,22,061,22061
45,"St. Helena Parish, Louisiana",5626,22,091,22091
46,"Webster Parish, Louisiana",13568,22,119,22119
47,"De Soto Parish, Louisiana",9728,22,031,22031
48,"Iberville Parish, Louisiana",15935,22,047,22047
49,"Winn Parish, Louisiana",4583,22,127,22127
50,"Livingston Parish, Louisiana",8323,22,063,22063
51,"Morehouse Parish, Louisiana",12793,22,067,22067
52,"Orleans Parish, Louisiana",232789,22,071,22071
53,"Terrebonne Parish, Louisiana",21588,22,109,22109
54,"Calcasieu Parish, Louisiana",49884,22,019,22019
55,"Claiborne Parish, Louisiana",8397,22,027,22027
56,"Avoyelles Parish, Louisiana",11769,22,009,22009
57,"Jackson Parish, Louisiana",4771,22,049,22049
58,"Pointe Coupee Parish, Louisiana",7874,22,077,22077
59,"St. Charles Parish, Louisiana",13967,22,089,22089
60,"Lafourche Parish, Louisiana",13064,22,057,22057
61,"Tensas Parish, Louisiana",2543,22,107,22107
62,"LaSalle Parish, Louisiana",1855,22,059,22059
63,"Richland Parish, Louisiana",7286,22,083,22083
